datetime,x_hz,y_dbm
2024-08-22 11:27:17.313057,107296647.84,-79.35962677
2024-08-22 11:27:18.317021,107296647.84,-87.5697479248
2024-08-22 11:27:19.320983,107296647.84,-75.138381958
2024-08-22 11:27:20.325029,107296647.84,-73.8736343384
2024-08-22 11:27:21.329065,107296647.84,-77.1037826538
2024-08-22 11:27:22.333049,107296647.84,-80.7845153809
2024-08-22 11:27:23.337020,107296647.84,-77.6008453369
2024-08-22 11:27:24.340989,107296647.84,-77.8324737549
2024-08-22 11:27:25.344957,107296647.84,-78.3352508545
2024-08-22 11:27:26.348999,107296647.84,-79.5939178467
2024-08-22 11:27:27.352965,107296647.84,-76.888053894
2024-08-22 11:27:28.356949,107296647.84,-75.4809341431
2024-08-22 11:27:29.360943,107296647.84,-74.7783432007
2024-08-22 11:27:30.364860,107296647.84,-72.6463623047
2024-08-22 11:27:31.368929,107296647.84,-71.5709381104
2024-08-22 11:27:32.372953,107296647.84,-72.7372970581
2024-08-22 11:27:33.376918,107296647.84,-74.5565872192
2024-08-22 11:27:34.380909,107296647.84,-79.5338363647
2024-08-22 11:27:35.384941,107296647.84,-81.1435012817
2024-08-22 11:27:36.389081,107296647.84,-86.0552444458
2024-08-22 11:27:37.393074,107296647.84,-75.4312591553
2024-08-22 11:27:38.397081,107296647.84,-71.3076629639
2024-08-22 11:27:39.401049,107296647.84,-71.5761871338
2024-08-22 11:27:40.405044,107296647.84,-72.5644836426
2024-08-22 11:27:41.409060,107296647.84,-74.6045074463
2024-08-22 11:27:42.413007,107296647.84,-75.1887054443
2024-08-22 11:27:43.417012,107296647.84,-73.9053878784
2024-08-22 11:27:44.421010,107296647.84,-74.9214782715
2024-08-22 11:27:45.424963,107296647.84,-78.7199401855
2024-08-22 11:27:46.428969,107296648.56,-84.5748748779
2024-08-22 11:27:47.432938,107296647.84,-84.3085327148
2024-08-22 11:27:48.436943,107296647.84,-81.785118103
2024-08-22 11:27:49.440926,107296647.84,-79.6778717041
2024-08-22 11:27:50.444939,107296647.84,-86.8069534302
2024-08-22 11:27:51.448942,107296647.84,-82.8884277344
2024-08-22 11:27:52.452904,107296647.84,-79.0600585938
2024-08-22 11:27:53.456858,107296647.84,-76.5698852539
2024-08-22 11:27:54.460839,107296647.84,-79.2299194336
2024-08-22 11:27:55.464828,107296647.84,-76.6771087646
2024-08-22 11:27:56.468906,107296647.84,-75.2491455078
2024-08-22 11:27:57.472908,107296647.84,-74.73853302
2024-08-22 11:27:58.476883,107296647.84,-77.9986572266
2024-08-22 11:27:59.480917,107296647.84,-78.3785400391
2024-08-22 11:28:00.484905,107296647.84,-75.0198669434
2024-08-22 11:28:01.497686,107296647.84,-76.7540664673
2024-08-22 11:28:02.500582,107296647.84,-83.5808258057
2024-08-22 11:28:03.503440,107296647.84,-75.9462356567
2024-08-22 11:28:04.507540,107296647.84,-74.5659866333
2024-08-22 11:28:05.512160,107296647.84,-74.3785476685
2024-08-22 11:28:06.516642,107296647.84,-76.6183395386
2024-08-22 11:28:07.520779,107296647.84,-79.0887145996
2024-08-22 11:28:08.524866,107296647.84,-75.2344741821
2024-08-22 11:28:09.527698,107296647.84,-76.7957611084
2024-08-22 11:28:10.531726,107296647.84,-75.0029525757
2024-08-22 11:28:11.535707,107296647.84,-74.5681686401
2024-08-22 11:28:12.539850,107296647.84,-74.8685150146
2024-08-22 11:28:13.543865,107296647.84,-75.0537490845
2024-08-22 11:28:14.547984,107296647.84,-79.5317001343
2024-08-22 11:28:15.551938,107296647.84,-85.6265182495
