evt,year,month,day,hour,minute,second,evlat,evlon,evdep,evmag,time_shift,half_duration,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp
C202102102345A,2021,2,10,23,45,15,-23.27,171.61,17.8,5.97,0,2.4,-9.869999999999999e+17,1.1e+18,-1.1499999999999998e+17,-4.499999999999999e+16,-2.7599999999999997e+17,3.86e+17
C202102110014A,2021,2,11,0,14,47,-23.26,171.63,14.1,5.92,0,2.2,-9.109999999999999e+17,8.169999999999999e+17,9.399999999999998e+16,-1.71e+17,-3.7e+16,3.3399999999999994e+17
C202102110415A,2021,2,11,4,15,16,-22.75,170.94,14.9,5.78,0,1.9,5.1499999999999994e+17,-5.05e+17,-9999999999999998.0,2.36e+17,-2.52e+16,1.6699999999999997e+17
C202102110652A,2021,2,11,6,52,28,-23.25,171.92,13.0,6.06,0,2.6,-3.19e+17,1.5499999999999997e+18,-1.23e+18,-1.85e+17,-3.6899999999999994e+17,5.85e+17
C202102110718A,2021,2,11,7,18,40,-23.24,171.94,13.8,5.71,0,1.7,-4.27e+17,3.9499999999999994e+17,3.15e+16,-7.56e+16,-7.35e+16,1.86e+17
C202102110822A,2021,2,11,8,22,10,-22.86,171.2,14.1,5.89,0,2.2,6.359999999999999e+17,-6.679999999999999e+17,3.2e+16,5.04e+17,-1.2299999999999998e+17,2.21e+17
C202102110839A,2021,2,11,8,39,13,-23.38,171.55,12.0,5.74,0,1.8,-4.7599999999999994e+17,4.29e+17,4.71e+16,-2.29e+17,-3.4299999999999996e+16,9.19e+16
C202102111119A,2021,2,11,11,19,26,-23.23,172.12,13.3,5.18,0,0.9,-6.59e+16,5.74e+16,8539999999999999.0,-2.16e+16,-2.62e+16,2.16e+16
C202102121006A,2021,2,12,10,6,1,-23.32,171.37,12.0,5.79,0,1.9,-4.8299999999999994e+17,5.1999999999999994e+17,-3.709999999999999e+16,-2.6199999999999997e+17,2.84e+16,2.1599999999999997e+17
C202102121701A,2021,2,12,17,1,34,38.13,73.42,111.0,5.88,0,2.1,7.289999999999999e+17,-4.9599999999999994e+17,-2.33e+17,-5e+16,-4.9e+16,-5.56e+17
